Date,Predicted_NetCashFlow,Lower_Bound,Upper_Bound,Risk_Flag
2024-12-31,605267.53,-183342.18,1394753.43,STABLE
2025-01-01,348010.04,-460514.91,1083275.88,STABLE
2025-01-02,343057.93,-497095.1,1128495.77,STABLE
2025-01-03,297032.18,-536257.94,1121868.48,STABLE
2025-01-04,373808.94,-403508.12,1254734.27,STABLE
2025-01-05,31303.08,-821316.8,818020.55,STABLE
2025-01-06,270354.85,-589953.38,1052099.73,STABLE
2025-01-07,376286.43,-398818.8,1208798.47,STABLE
2025-01-08,132641.69,-665691.21,986646.36,STABLE
2025-01-09,142092.51,-623850.08,959602.15,STABLE
2025-01-10,110998.7,-678631.75,927433.36,STABLE
2025-01-11,202993.94,-618782.41,997791.2,STABLE
2025-01-12,-124226.66,-941318.4,718030.64,OUTFLOW RISK
2025-01-13,129983.15,-697713.61,961803.89,STABLE
2025-01-14,250779.4,-587888.68,1071094.81,STABLE
2025-01-15,21568.74,-750888.52,801971.11,STABLE
2025-01-16,44914.92,-853406.92,872189.19,STABLE
2025-01-17,27098.01,-821607.71,816824.3,STABLE
2025-01-18,131698.77,-650265.63,922709.97,STABLE
2025-01-19,-183616.03,-1031958.07,659694.34,OUTFLOW RISK
2025-01-20,81793.36,-768231.79,846033.56,STABLE
2025-01-21,213094.99,-595743.64,1035801.43,STABLE
2025-01-22,-6277.41,-816592.88,811899.39,OUTFLOW RISK
2025-01-23,26278.29,-821578.53,799861.99,STABLE
2025-01-24,17088.17,-752622.51,842663.5,STABLE
2025-01-25,129783.1,-644119.7,956998.55,STABLE
2025-01-26,-177919.33,-962265.42,585751.88,OUTFLOW RISK
2025-01-27,94669.21,-693346.99,921224.74,STABLE
2025-01-28,232760.69,-565728.26,1065750.81,STABLE
2025-01-29,19825.95,-813139.54,824633.26,STABLE
