Date,Transaction_Type,Category,Amount_NGN,Description,Month,Week,Signed_Amount,Running_Balance_NGN,Cash_Alert
2024-01-01,Income,Advance Payment,80098.98,Customer payment received,January,1,80098.98,80098.98,DANGER
2024-01-01,Income,Bulk Order Payment,140201.33,Customer payment received,January,1,140201.33,220300.31,DANGER
2024-01-01,Income,Product Sales,361412.05,Customer payment received,January,1,361412.05,581712.36,WARNING
2024-01-01,Expense,Staff Salaries,35255.69,Business expense paid,January,1,-35255.69,546456.6699999999,WARNING
2024-01-01,Expense,Supplier Payment,124946.23,Business expense paid,January,1,-124946.23,421510.43999999994,DANGER
2024-01-01,Expense,Loan Repayment,289397.63,Business expense paid,January,1,-289397.63,132112.80999999994,DANGER
2024-01-01,Expense,Utilities,125811.5,Business expense paid,January,1,-125811.5,6301.3099999999395,DANGER
2024-01-02,Expense,Marketing,66423.86,Business expense paid,January,1,-66423.86,-60122.55000000006,DANGER
2024-01-02,Expense,Marketing,123350.61,Business expense paid,January,1,-123350.61,-183473.16000000006,DANGER
2024-01-02,Expense,Loan Repayment,69060.93,Business expense paid,January,1,-69060.93,-252534.09000000005,DANGER
2024-01-02,Income,Bulk Order Payment,371463.32,Customer payment received,January,1,371463.32,118929.22999999995,DANGER
2024-01-02,Expense,Rent,183320.25,Business expense paid,January,1,-183320.25,-64391.02000000005,DANGER
2024-01-03,Income,Product Sales,149034.39,Customer payment received,January,1,149034.39,84643.36999999997,DANGER
2024-01-03,Income,Product Sales,358379.3,Customer payment received,January,1,358379.3,443022.6699999999,DANGER
2024-01-03,Income,Loan Received,467902.09,Customer payment received,January,1,467902.09,910924.76,WARNING
2024-01-03,Expense,Marketing,284979.5,Business expense paid,January,1,-284979.5,625945.26,WARNING
2024-01-04,Expense,Marketing,153427.33,Business expense paid,January,1,-153427.33,472517.93000000005,DANGER
2024-01-04,Income,Product Sales,116529.87,Customer payment received,January,1,116529.87,589047.8,WARNING
2024-01-04,Income,Bulk Order Payment,50620.97,Customer payment received,January,1,50620.97,639668.77,WARNING
2024-01-04,Income,Product Sales,377880.75,Customer payment received,January,1,377880.75,1017549.52,WARNING
2024-01-04,Expense,Loan Repayment,435912.16,Business expense paid,January,1,-435912.16,581637.3600000001,WARNING
2024-01-05,Expense,Logistics / Delivery,276387.14,Business expense paid,January,1,-276387.14,305250.2200000001,DANGER
2024-01-05,Expense,Rent,312382.88,Business expense paid,January,1,-312382.88,-7132.659999999916,DANGER
2024-01-05,Income,Bulk Order Payment,196581.44,Customer payment received,January,1,196581.44,189448.7800000001,DANGER
2024-01-05,Expense,Staff Salaries,356873.75,Business expense paid,January,1,-356873.75,-167424.9699999999,DANGER
2024-01-06,Income,Advance Payment,238017.1,Customer payment received,January,1,238017.1,70592.13000000009,DANGER
2024-01-06,Expense,Supplier Payment,348614.84,Business expense paid,January,1,-348614.84,-278022.70999999996,DANGER
2024-01-06,Expense,Supplier Payment,129943.07,Business expense paid,January,1,-129943.07,-407965.77999999997,DANGER
2024-01-07,Income,Product Sales,210524.15,Customer payment received,January,1,210524.15,-197441.62999999998,DANGER
2024-01-07,Income,Advance Payment,124942.28,Customer payment received,January,1,124942.28,-72499.34999999998,DANGER
2024-01-07,Expense,Loan Repayment,334610.56,Business expense paid,January,1,-334610.56,-407109.91,DANGER
2024-01-07,Expense,Miscellaneous,444647.91,Business expense paid,January,1,-444647.91,-851757.82,DANGER
2024-01-08,Expense,Rent,193758.29,Business expense paid,January,2,-193758.29,-1045516.11,DANGER
2024-01-08,Expense,Loan Repayment,450954.98,Business expense paid,January,2,-450954.98,-1496471.0899999999,DANGER
2024-01-08,Income,Bulk Order Payment,149196.07,Customer payment received,January,2,149196.07,-1347275.0199999998,DANGER
2024-01-08,Expense,Loan Repayment,378566.63,Business expense paid,January,2,-378566.63,-1725841.65,DANGER
2024-01-09,Income,Product Sales,252082.13,Customer payment received,January,2,252082.13,-1473759.52,DANGER
2024-01-09,Income,Bulk Order Payment,417496.31,Customer payment received,January,2,417496.31,-1056263.21,DANGER
2024-01-09,Income,Loan Received,312350.72,Customer payment received,January,2,312350.72,-743912.49,DANGER
2024-01-09,Expense,Miscellaneous,204688.31,Business expense paid,January,2,-204688.31,-948600.8,DANGER
2024-01-10,Expense,Supplier Payment,95915.72,Business expense paid,January,2,-95915.72,-1044516.52,DANGER
2024-01-10,Income,Product Sales,143136.35,Customer payment received,January,2,143136.35,-901380.17,DANGER
2024-01-10,Income,Product Sales,336127.53,Customer payment received,January,2,336127.53,-565252.64,DANGER
2024-01-10,Income,Advance Payment,336769.67,Customer payment received,January,2,336769.67,-228482.97000000003,DANGER
2024-01-10,Expense,Loan Repayment,73545.04,Business expense paid,January,2,-73545.04,-302028.01,DANGER
2024-01-10,Expense,Utilities,477831.65,Business expense paid,January,2,-477831.65,-779859.66,DANGER
2024-01-11,Expense,Supplier Payment,278901.93,Business expense paid,January,2,-278901.93,-1058761.59,DANGER
2024-01-11,Income,Bulk Order Payment,408751.21,Customer payment received,January,2,408751.21,-650010.3800000001,DANGER
2024-01-11,Expense,Rent,199478.65,Business expense paid,January,2,-199478.65,-849489.0300000001,DANGER
2024-01-11,Income,Advance Payment,421733.36,Customer payment received,January,2,421733.36,-427755.67000000016,DANGER
2024-01-11,Income,Product Sales,372882.99,Customer payment received,January,2,372882.99,-54872.68000000017,DANGER
2024-01-12,Income,Product Sales,175870.23,Customer payment received,January,2,175870.23,120997.54999999984,DANGER
2024-01-12,Income,Advance Payment,80340.48,Customer payment received,January,2,80340.48,201338.02999999985,DANGER
2024-01-12,Income,Advance Payment,425424.85,Customer payment received,January,2,425424.85,626762.8799999999,WARNING
2024-01-12,Expense,Staff Salaries,47804.08,Business expense paid,January,2,-47804.08,578958.7999999999,WARNING
2024-01-12,Expense,Miscellaneous,61113.66,Business expense paid,January,2,-61113.66,517845.1399999999,WARNING
2024-01-13,Income,Bulk Order Payment,470093.02,Customer payment received,January,2,470093.02,987938.1599999999,WARNING
2024-01-13,Expense,Rent,336680.39,Business expense paid,January,2,-336680.39,651257.7699999999,WARNING
2024-01-13,Expense,Loan Repayment,147227.18,Business expense paid,January,2,-147227.18,504030.5899999999,WARNING
2024-01-14,Expense,Logistics / Delivery,78082.01,Business expense paid,January,2,-78082.01,425948.5799999999,DANGER
2024-01-14,Expense,Miscellaneous,230288.04,Business expense paid,January,2,-230288.04,195660.5399999999,DANGER
2024-01-14,Expense,Marketing,211516.3,Business expense paid,January,2,-211516.3,-15855.760000000097,DANGER
2024-01-14,Income,Bulk Order Payment,448011.07,Customer payment received,January,2,448011.07,432155.30999999994,DANGER
2024-01-15,Income,Bulk Order Payment,182138.5,Customer payment received,January,3,182138.5,614293.8099999999,WARNING
2024-01-15,Expense,Supplier Payment,23451.6,Business expense paid,January,3,-23451.6,590842.21,WARNING
2024-01-15,Expense,Supplier Payment,129892.06,Business expense paid,January,3,-129892.06,460950.14999999997,DANGER
2024-01-16,Income,Bulk Order Payment,61885.81,Customer payment received,January,3,61885.81,522835.95999999996,WARNING
2024-01-16,Income,Loan Received,155314.77,Customer payment received,January,3,155314.77,678150.73,WARNING
2024-01-16,Expense,Miscellaneous,278832.29,Business expense paid,January,3,-278832.29,399318.44,DANGER
2024-01-16,Expense,Miscellaneous,136638.68,Business expense paid,January,3,-136638.68,262679.76,DANGER
2024-01-17,Expense,Staff Salaries,404284.41,Business expense paid,January,3,-404284.41,-141604.64999999997,DANGER
2024-01-17,Expense,Marketing,49094.08,Business expense paid,January,3,-49094.08,-190698.72999999998,DANGER
2024-01-17,Expense,Staff Salaries,343214.98,Business expense paid,January,3,-343214.98,-533913.71,DANGER
2024-01-17,Expense,Supplier Payment,217329.09,Business expense paid,January,3,-217329.09,-751242.7999999999,DANGER
2024-01-17,Income,Advance Payment,326542.24,Customer payment received,January,3,326542.24,-424700.55999999994,DANGER
2024-01-17,Income,Product Sales,115684.46,Customer payment received,January,3,115684.46,-309016.0999999999,DANGER
2024-01-18,Income,Loan Received,116215.53,Customer payment received,January,3,116215.53,-192800.56999999992,DANGER
